date,store_id,store_type,assortment,sales,customers,promo,school_holiday,eid_period,day_of_week,open,competition_distance_m
2020-04-19,1,a,extra,4871.14,12,0,0,0,6,1,425.0
2020-04-20,1,a,extra,3968.37,9,0,0,0,0,1,425.0
2020-04-21,1,a,extra,6897.02,19,1,0,0,1,1,425.0
2020-04-22,1,a,extra,5561.68,18,1,0,0,2,1,425.0
2020-04-23,1,a,extra,5900.82,15,1,0,0,3,1,425.0
2020-04-24,1,a,extra,3772.23,11,0,0,0,4,1,425.0
2020-04-25,1,a,extra,5509.0,13,0,0,0,5,1,425.0
2020-04-26,1,a,extra,5127.52,12,0,0,0,6,1,425.0
2020-04-27,1,a,extra,6778.04,18,1,0,0,0,1,425.0
2020-04-28,1,a,extra,5694.59,15,0,0,0,1,1,425.0
2020-04-29,1,a,extra,4804.02,13,0,0,0,2,1,425.0
2020-04-30,1,a,extra,4589.05,12,0,0,0,3,1,425.0
2020-05-01,1,a,extra,0.0,0,0,1,0,4,0,425.0
2020-05-02,1,a,extra,5097.63,12,0,0,0,5,1,425.0
2020-05-03,1,a,extra,5170.37,13,0,0,0,6,1,425.0
2020-05-04,1,a,extra,5286.82,14,0,0,0,0,1,425.0
2020-05-05,1,a,extra,4486.16,11,0,0,0,1,1,425.0
2020-05-06,1,a,extra,4088.5,9,0,0,0,2,1,425.0
2020-05-07,1,a,extra,5405.46,18,0,0,0,3,1,425.0
2020-05-08,1,a,extra,5125.76,12,1,0,0,4,1,425.0
2020-05-09,1,a,extra,5246.32,14,0,0,0,5,1,425.0
2020-05-10,1,a,extra,5054.43,14,0,0,0,6,1,425.0
2020-05-11,1,a,extra,5418.89,18,0,0,0,0,1,425.0
2020-05-12,1,a,extra,4739.41,12,0,0,0,1,1,425.0
2020-05-13,1,a,extra,4664.68,11,0,0,0,2,1,425.0
2020-05-14,1,a,extra,4199.39,10,0,0,0,3,1,425.0
2020-05-15,1,a,extra,3577.85,11,0,0,0,4,1,425.0
2020-05-16,1,a,extra,4726.64,15,0,0,0,5,1,425.0
2020-05-17,1,a,extra,5700.75,16,0,0,0,6,1,425.0
2020-05-18,1,a,extra,5399.28,15,0,0,0,0,1,425.0
2020-05-19,1,a,extra,4771.32,11,0,0,0,1,1,425.0
2020-05-20,1,a,extra,4920.37,12,0,0,0,2,1,425.0
2020-05-21,1,a,extra,7052.27,23,0,0,1,3,1,425.0
2020-05-22,1,a,extra,6867.07,20,1,0,1,4,1,425.0
2020-05-23,1,a,extra,6238.31,15,0,0,1,5,1,425.0
2020-05-24,1,a,extra,2033.73,6,0,0,1,6,1,425.0
2020-05-25,1,a,extra,6641.03,16,0,0,1,0,1,425.0
2020-05-26,1,a,extra,5426.96,15,0,0,1,1,1,425.0
2020-05-27,1,a,extra,6253.49,17,0,0,1,2,1,425.0
2020-05-28,1,a,extra,4109.58,14,0,0,0,3,1,425.0
2020-05-29,1,a,extra,3851.38,12,0,0,0,4,1,425.0
2020-05-30,1,a,extra,5677.46,18,0,0,0,5,1,425.0
2020-05-31,1,a,extra,4690.86,11,0,0,0,6,1,425.0
2020-06-01,1,a,extra,4458.17,14,0,0,0,0,1,425.0
2020-06-02,1,a,extra,6360.05,20,1,0,0,1,1,425.0
2020-06-03,1,a,extra,4615.82,14,0,0,0,2,1,425.0
2020-06-04,1,a,extra,4227.15,12,0,0,0,3,1,425.0
2020-06-05,1,a,extra,3407.51,8,0,0,0,4,1,425.0
2020-06-06,1,a,extra,5608.25,19,0,0,0,5,1,425.0
2020-06-07,1,a,extra,5413.64,17,0,0,0,6,1,425.0
2020-06-08,1,a,extra,5231.57,15,0,0,0,0,1,425.0
2020-06-09,1,a,extra,4109.6,11,0,0,0,1,1,425.0
2020-06-10,1,a,extra,5239.94,18,0,0,0,2,1,425.0
2020-06-11,1,a,extra,4908.85,13,0,0,0,3,1,425.0
2020-06-12,1,a,extra,3742.58,12,0,0,0,4,1,425.0
2020-06-13,1,a,extra,4712.04,14,0,0,0,5,1,425.0
2020-06-14,1,a,extra,5229.87,18,0,0,0,6,1,425.0
2020-06-15,1,a,extra,4617.84,15,0,0,0,0,1,425.0
2020-06-16,1,a,extra,4300.12,11,0,0,0,1,1,425.0
2020-06-17,1,a,extra,4667.82,15,0,0,0,2,1,425.0
2020-06-18,1,a,extra,5294.19,14,0,0,0,3,1,425.0
2020-06-19,1,a,extra,3304.44,10,0,0,0,4,1,425.0
2020-06-20,1,a,extra,5420.16,14,0,0,0,5,1,425.0
2020-06-21,1,a,extra,4494.4,15,0,0,0,6,1,425.0
2020-06-22,1,a,extra,5157.36,16,0,0,0,0,1,425.0
2020-06-23,1,a,extra,4514.89,14,0,0,0,1,1,425.0
2020-06-24,1,a,extra,4312.76,14,0,0,0,2,1,425.0
2020-06-25,1,a,extra,4790.99,16,0,0,0,3,1,425.0
2020-06-26,1,a,extra,3632.26,8,0,0,0,4,1,425.0
2020-06-27,1,a,extra,5234.21,17,0,0,0,5,1,425.0
2020-06-28,1,a,extra,5497.27,13,0,0,0,6,1,425.0
2020-06-29,1,a,extra,4175.81,10,0,0,0,0,1,425.0
2020-06-30,1,a,extra,5007.98,15,0,0,0,1,1,425.0
2020-07-01,1,a,extra,2358.22,7,0,0,0,2,1,425.0
2020-07-02,1,a,extra,2775.33,8,0,0,0,3,1,425.0
2020-07-03,1,a,extra,2142.95,6,0,0,0,4,1,425.0
2020-07-04,1,a,extra,3720.07,11,1,0,0,5,1,425.0
2020-07-05,1,a,extra,3316.58,10,0,0,0,6,1,425.0
2020-07-06,1,a,extra,2752.64,7,0,0,0,0,1,425.0
2020-07-07,1,a,extra,2193.38,6,0,0,0,1,1,425.0
2020-07-08,1,a,extra,2567.63,6,0,0,0,2,1,425.0
2020-07-09,1,a,extra,2858.86,6,0,0,0,3,1,425.0
2020-07-10,1,a,extra,2040.86,7,0,0,0,4,1,425.0
2020-07-11,1,a,extra,3608.65,12,0,0,0,5,1,425.0
2020-07-12,1,a,extra,3114.26,10,0,0,0,6,1,425.0
2020-07-13,1,a,extra,3009.81,8,0,0,0,0,1,425.0
2020-07-14,1,a,extra,2717.03,8,0,0,0,1,1,425.0
2020-07-15,1,a,extra,3068.46,8,0,0,0,2,1,425.0
2020-07-16,1,a,extra,2667.82,7,0,0,0,3,1,425.0
2020-07-17,1,a,extra,2164.16,6,0,0,0,4,1,425.0
2020-07-18,1,a,extra,3762.33,11,0,0,0,5,1,425.0
2020-07-19,1,a,extra,3112.58,10,0,0,0,6,1,425.0
2020-07-20,1,a,extra,3111.74,8,0,0,0,0,1,425.0
2020-07-21,1,a,extra,2913.3,7,0,0,0,1,1,425.0
2020-07-22,1,a,extra,2668.57,6,0,0,0,2,1,425.0
2020-07-23,1,a,extra,2657.99,8,0,0,0,3,1,425.0
2020-07-24,1,a,extra,1997.55,7,0,0,0,4,1,425.0
2020-07-25,1,a,extra,3413.81,10,0,0,0,5,1,425.0
2020-07-26,1,a,extra,3142.97,10,0,0,0,6,1,425.0
2020-07-27,1,a,extra,2842.35,7,0,0,0,0,1,425.0
2020-07-28,1,a,extra,3484.35,11,0,0,1,1,1,425.0
2020-07-29,1,a,extra,4039.84,10,0,0,1,2,1,425.0
2020-07-30,1,a,extra,4204.39,13,0,0,1,3,1,425.0
2020-07-31,1,a,extra,636.56,1,0,0,1,4,1,425.0
2020-08-01,1,a,extra,5018.65,16,0,0,1,5,1,425.0
2020-08-02,1,a,extra,5031.63,17,0,0,1,6,1,425.0
2020-08-03,1,a,extra,3982.85,9,0,0,1,0,1,425.0
2020-08-04,1,a,extra,2956.13,7,0,0,0,1,1,425.0
2020-08-05,1,a,extra,2834.33,7,0,0,0,2,1,425.0
2020-08-06,1,a,extra,3177.23,7,0,0,0,3,1,425.0
2020-08-07,1,a,extra,2068.06,6,0,0,0,4,1,425.0
2020-08-08,1,a,extra,4219.47,11,1,0,0,5,1,425.0
2020-08-09,1,a,extra,3359.28,11,0,0,0,6,1,425.0
2020-08-10,1,a,extra,2653.64,7,0,0,0,0,1,425.0
2020-08-11,1,a,extra,2414.14,7,0,0,0,1,1,425.0
2020-08-12,1,a,extra,2697.38,8,0,0,0,2,1,425.0
2020-08-13,1,a,extra,3199.75,10,0,0,0,3,1,425.0
2020-08-14,1,a,extra,1643.45,4,0,0,0,4,1,425.0
2020-08-15,1,a,extra,0.0,0,0,1,0,5,0,425.0
2020-08-16,1,a,extra,3559.99,8,1,0,0,6,1,425.0
2020-08-17,1,a,extra,3058.73,9,0,0,0,0,1,425.0
2020-08-18,1,a,extra,3635.12,10,1,0,0,1,1,425.0
2020-08-19,1,a,extra,3614.95,9,1,0,0,2,1,425.0
2020-08-20,1,a,extra,2756.18,8,0,0,0,3,1,425.0
2020-08-21,1,a,extra,2819.75,8,1,0,0,4,1,425.0
2020-08-22,1,a,extra,3698.11,10,0,0,0,5,1,425.0
2020-08-23,1,a,extra,2331.35,6,0,0,0,6,1,425.0
2020-08-24,1,a,extra,3002.39,7,0,0,0,0,1,425.0
2020-08-25,1,a,extra,2777.71,8,0,0,0,1,1,425.0
2020-08-26,1,a,extra,2696.81,8,0,0,0,2,1,425.0
2020-08-27,1,a,extra,2770.58,7,0,0,0,3,1,425.0
2020-08-28,1,a,extra,2607.51,6,1,0,0,4,1,425.0
2020-08-29,1,a,extra,3936.28,13,1,0,0,5,1,425.0
2020-08-30,1,a,extra,3206.51,10,0,0,0,6,1,425.0
2020-08-31,1,a,extra,3394.07,10,1,0,0,0,1,425.0
2020-09-01,1,a,extra,4036.33,12,0,0,0,1,1,425.0
2020-09-02,1,a,extra,3964.13,12,0,0,0,2,1,425.0
2020-09-03,1,a,extra,3294.0,8,0,0,0,3,1,425.0
2020-09-04,1,a,extra,3504.51,10,0,0,0,4,1,425.0
2020-09-05,1,a,extra,5117.66,16,0,0,0,5,1,425.0
2020-09-06,1,a,extra,3593.12,10,0,0,0,6,1,425.0
2020-09-07,1,a,extra,3430.2,8,0,0,0,0,1,425.0
2020-09-08,1,a,extra,3763.15,12,0,0,0,1,1,425.0
2020-09-09,1,a,extra,4219.62,10,0,0,0,2,1,425.0
2020-09-10,1,a,extra,3870.04,13,0,0,0,3,1,425.0
2020-09-11,1,a,extra,3614.8,11,0,0,0,4,1,425.0
2020-09-12,1,a,extra,4858.01,12,0,0,0,5,1,425.0
2020-09-13,1,a,extra,3775.7,11,0,0,0,6,1,425.0
2020-09-14,1,a,extra,5266.52,12,1,0,0,0,1,425.0
2020-09-15,1,a,extra,4327.13,12,1,0,0,1,1,425.0
2020-09-16,1,a,extra,4077.46,10,0,0,0,2,1,425.0
2020-09-17,1,a,extra,4451.78,11,0,0,0,3,1,425.0
2020-09-18,1,a,extra,3459.29,8,0,0,0,4,1,425.0
2020-09-19,1,a,extra,4744.24,16,0,0,0,5,1,425.0
2020-09-20,1,a,extra,3363.78,8,0,0,0,6,1,425.0
2020-09-21,1,a,extra,4550.42,13,1,0,0,0,1,425.0
2020-09-22,1,a,extra,4173.35,12,0,0,0,1,1,425.0
2020-09-23,1,a,extra,4089.7,11,0,0,0,2,1,425.0
2020-09-24,1,a,extra,3275.59,7,0,0,0,3,1,425.0
2020-09-25,1,a,extra,3200.14,11,0,0,0,4,1,425.0
2020-09-26,1,a,extra,3963.26,10,0,0,0,5,1,425.0
2020-09-27,1,a,extra,4144.72,14,0,0,0,6,1,425.0
2020-09-28,1,a,extra,4175.66,11,0,0,0,0,1,425.0
2020-09-29,1,a,extra,3413.63,8,0,0,0,1,1,425.0
2020-09-30,1,a,extra,3752.81,9,0,0,0,2,1,425.0
2020-10-01,1,a,extra,3669.05,12,0,0,0,3,1,425.0
2020-10-02,1,a,extra,3752.4,12,0,0,0,4,1,425.0
2020-10-03,1,a,extra,4536.32,12,0,0,0,5,1,425.0
2020-10-04,1,a,extra,4701.59,12,0,0,0,6,1,425.0
2020-10-05,1,a,extra,5112.3,12,0,0,0,0,1,425.0
2020-10-06,1,a,extra,4877.24,13,0,0,0,1,1,425.0
2020-10-07,1,a,extra,4686.61,16,0,0,0,2,1,425.0
2020-10-08,1,a,extra,4418.34,13,0,0,0,3,1,425.0
2020-10-09,1,a,extra,3751.91,9,0,0,0,4,1,425.0
2020-10-10,1,a,extra,5115.91,12,0,0,0,5,1,425.0
2020-10-11,1,a,extra,5372.13,18,1,0,0,6,1,425.0
2020-10-12,1,a,extra,6136.01,16,1,0,0,0,1,425.0
2020-10-13,1,a,extra,4351.87,13,0,0,0,1,1,425.0
2020-10-14,1,a,extra,4422.95,11,0,0,0,2,1,425.0
2020-10-15,1,a,extra,4711.89,12,0,0,0,3,1,425.0
2020-10-16,1,a,extra,3496.42,12,0,0,0,4,1,425.0
2020-10-17,1,a,extra,5490.1,14,0,0,0,5,1,425.0
2020-10-18,1,a,extra,4830.22,14,0,0,0,6,1,425.0
2020-10-19,1,a,extra,4381.25,11,0,0,0,0,1,425.0
2020-10-20,1,a,extra,3463.81,8,0,0,0,1,1,425.0
2020-10-21,1,a,extra,3712.5,9,0,0,0,2,1,425.0
2020-10-22,1,a,extra,3682.85,12,0,0,0,3,1,425.0
2020-10-23,1,a,extra,3104.23,9,0,0,0,4,1,425.0
2020-10-24,1,a,extra,5985.35,21,1,0,0,5,1,425.0
2020-10-25,1,a,extra,3977.16,10,0,0,0,6,1,425.0
2020-10-26,1,a,extra,4097.46,9,0,0,0,0,1,425.0
2020-10-27,1,a,extra,4399.74,10,0,0,0,1,1,425.0
2020-10-28,1,a,extra,4054.06,11,0,0,0,2,1,425.0
2020-10-29,1,a,extra,4840.24,13,0,0,0,3,1,425.0
2020-10-30,1,a,extra,3915.6,12,0,0,0,4,1,425.0
2020-10-31,1,a,extra,5428.62,16,0,0,0,5,1,425.0
2020-11-01,1,a,extra,5824.26,14,1,0,0,6,1,425.0
2020-11-02,1,a,extra,4447.38,11,0,0,0,0,1,425.0
2020-11-03,1,a,extra,3998.99,13,0,0,0,1,1,425.0
2020-11-04,1,a,extra,4106.0,11,0,0,0,2,1,425.0
2020-11-05,1,a,extra,4107.27,11,0,0,0,3,1,425.0
2020-11-06,1,a,extra,4235.75,14,1,0,0,4,1,425.0
2020-11-07,1,a,extra,5447.8,13,0,0,0,5,1,425.0
2020-11-08,1,a,extra,5061.75,14,0,0,0,6,1,425.0
2020-11-09,1,a,extra,6472.16,19,1,0,0,0,1,425.0
2020-11-10,1,a,extra,4832.3,13,0,0,0,1,1,425.0
2020-11-11,1,a,extra,5137.31,16,1,0,0,2,1,425.0
2020-11-12,1,a,extra,3014.56,8,0,0,0,3,1,425.0
2020-11-13,1,a,extra,3156.33,9,0,0,0,4,1,425.0
2020-11-14,1,a,extra,4417.01,10,0,0,0,5,1,425.0
2020-11-15,1,a,extra,5032.09,13,0,0,0,6,1,425.0
2020-11-16,1,a,extra,4780.48,12,0,0,0,0,1,425.0
2020-11-17,1,a,extra,4769.39,12,0,0,0,1,1,425.0
2020-11-18,1,a,extra,4137.14,10,0,0,0,2,1,425.0
2020-11-19,1,a,extra,4584.61,16,0,0,0,3,1,425.0
2020-11-20,1,a,extra,3314.02,8,0,0,0,4,1,425.0
2020-11-21,1,a,extra,4798.04,12,0,0,0,5,1,425.0
2020-11-22,1,a,extra,4738.02,14,0,0,0,6,1,425.0
2020-11-23,1,a,extra,4618.57,11,0,0,0,0,1,425.0
2020-11-24,1,a,extra,4790.07,13,0,0,0,1,1,425.0
2020-11-25,1,a,extra,3864.12,13,0,0,0,2,1,425.0
2020-11-26,1,a,extra,4612.37,14,0,0,0,3,1,425.0
2020-11-27,1,a,extra,3446.83,8,0,0,0,4,1,425.0
2020-11-28,1,a,extra,6751.85,23,1,0,0,5,1,425.0
2020-11-29,1,a,extra,5019.54,13,0,0,0,6,1,425.0
2020-11-30,1,a,extra,4952.64,13,1,0,0,0,1,425.0
2020-12-01,1,a,extra,5578.13,13,1,0,0,1,1,425.0
2020-12-02,1,a,extra,4061.56,14,0,0,0,2,1,425.0
2020-12-03,1,a,extra,4795.12,14,1,0,0,3,1,425.0
2020-12-04,1,a,extra,3269.78,9,0,0,0,4,1,425.0
2020-12-05,1,a,extra,5092.71,12,0,0,0,5,1,425.0
2020-12-06,1,a,extra,3848.51,9,0,0,0,6,1,425.0
2020-12-07,1,a,extra,4065.36,13,0,0,0,0,1,425.0
2020-12-08,1,a,extra,5656.73,17,1,0,0,1,1,425.0
2020-12-09,1,a,extra,4400.18,14,0,0,0,2,1,425.0
2020-12-10,1,a,extra,3895.96,10,0,0,0,3,1,425.0
2020-12-11,1,a,extra,3246.02,10,0,0,0,4,1,425.0
2020-12-12,1,a,extra,5022.07,16,0,0,0,5,1,425.0
2020-12-13,1,a,extra,4251.69,14,0,0,0,6,1,425.0
2020-12-14,1,a,extra,4489.76,12,0,0,0,0,1,425.0
2020-12-15,1,a,extra,3894.37,12,0,0,0,1,1,425.0
2020-12-16,1,a,extra,1466.92,3,0,1,0,2,1,425.0
2020-12-17,1,a,extra,4197.11,14,0,0,0,3,1,425.0
2020-12-18,1,a,extra,4004.74,10,1,0,0,4,1,425.0
2020-12-19,1,a,extra,4948.46,16,0,0,0,5,1,425.0
2020-12-20,1,a,extra,4072.93,13,0,0,0,6,1,425.0
2020-12-21,1,a,extra,4811.55,16,0,0,0,0,1,425.0
2020-12-22,1,a,extra,4327.13,13,0,0,0,1,1,425.0
2020-12-23,1,a,extra,3712.83,13,0,0,0,2,1,425.0
2020-12-24,1,a,extra,4844.19,13,1,0,0,3,1,425.0
2020-12-25,1,a,extra,842.2,2,0,1,0,4,1,425.0
2020-12-26,1,a,extra,4646.56,15,0,0,0,5,1,425.0
2020-12-27,1,a,extra,4118.54,9,0,0,0,6,1,425.0
2020-12-28,1,a,extra,5041.01,13,0,0,0,0,1,425.0
2020-12-29,1,a,extra,4018.95,14,0,0,0,1,1,425.0
2020-12-30,1,a,extra,3637.36,11,0,0,0,2,1,425.0
2020-12-31,1,a,extra,5072.38,17,1,0,0,3,1,425.0
2021-01-01,1,a,extra,1097.32,2,0,1,0,4,1,425.0
2021-01-02,1,a,extra,4215.91,13,0,0,0,5,1,425.0
2021-01-03,1,a,extra,6264.01,22,1,0,0,6,1,425.0
2021-01-04,1,a,extra,4494.75,15,0,0,0,0,1,425.0
2021-01-05,1,a,extra,4284.86,11,0,0,0,1,1,425.0
2021-01-06,1,a,extra,4093.07,12,0,0,0,2,1,425.0
2021-01-07,1,a,extra,4422.46,12,0,0,0,3,1,425.0
2021-01-08,1,a,extra,3139.21,8,0,0,0,4,1,425.0
2021-01-09,1,a,extra,4393.2,10,0,0,0,5,1,425.0
2021-01-10,1,a,extra,4161.59,9,0,0,0,6,1,425.0
2021-01-11,1,a,extra,4349.41,11,0,0,0,0,1,425.0
2021-01-12,1,a,extra,3827.5,10,0,0,0,1,1,425.0
2021-01-13,1,a,extra,3970.9,12,0,0,0,2,1,425.0
2021-01-14,1,a,extra,4000.73,13,0,0,0,3,1,425.0
2021-01-15,1,a,extra,3860.7,9,1,0,0,4,1,425.0
2021-01-16,1,a,extra,3970.27,10,0,0,0,5,1,425.0
2021-01-17,1,a,extra,3875.27,9,0,0,0,6,1,425.0
2021-01-18,1,a,extra,4621.3,11,1,0,0,0,1,425.0
2021-01-19,1,a,extra,4652.57,13,0,0,0,1,1,425.0
2021-01-20,1,a,extra,3798.03,9,0,0,0,2,1,425.0
2021-01-21,1,a,extra,4194.88,10,0,0,0,3,1,425.0
2021-01-22,1,a,extra,2652.5,7,0,0,0,4,1,425.0
2021-01-23,1,a,extra,4413.6,11,0,0,0,5,1,425.0
2021-01-24,1,a,extra,4515.84,14,0,0,0,6,1,425.0
2021-01-25,1,a,extra,4153.37,13,0,0,0,0,1,425.0
2021-01-26,1,a,extra,4471.52,13,0,0,0,1,1,425.0
2021-01-27,1,a,extra,4375.97,14,0,0,0,2,1,425.0
2021-01-28,1,a,extra,3345.49,8,0,0,0,3,1,425.0
2021-01-29,1,a,extra,2733.82,7,0,0,0,4,1,425.0
2021-01-30,1,a,extra,5171.11,12,0,0,0,5,1,425.0
2021-01-31,1,a,extra,4395.4,13,0,0,0,6,1,425.0
